WardName,WardCode,LookUp_BoroughName
Heathrow Villages,E05013570,Aviation Security (SO18)
Abbey,E05014053,Barking and Dagenham
Alibon,E05014054,Barking and Dagenham
Barking Riverside,E05014055,Barking and Dagenham
Beam,E05014056,Barking and Dagenham
Becontree,E05014057,Barking and Dagenham
Chadwell Heath,E05014058,Barking and Dagenham
Eastbrook & Rush Green,E05014059,Barking and Dagenham
Eastbury,E05014060,Barking and Dagenham
Gascoigne,E05014061,Barking and Dagenham
Goresbrook,E05014062,Barking and Dagenham
Heath,E05014063,Barking and Dagenham
Longbridge,E05014064,Barking and Dagenham
Mayesbrook,E05014065,Barking and Dagenham
Northbury,E05014066,Barking and Dagenham
Parsloes,E05014067,Barking and Dagenham
Thames View,E05014068,Barking and Dagenham
Valence,E05014069,Barking and Dagenham
Village,E05014070,Barking and Dagenham
Whalebone,E05014071,Barking and Dagenham
Barnet Vale,E05013628,Barnet
Brunswick Park,E05013629,Barnet
Burnt Oak,E05013630,Barnet
Childs Hill,E05013631,Barnet
Colindale North,E05013632,Barnet
Colindale South,E05013633,Barnet
Cricklewood,E05013634,Barnet
East Barnet,E05013635,Barnet
East Finchley,E05013636,Barnet
Edgware,E05013637,Barnet
Edgwarebury,E05013638,Barnet
Finchley Church End,E05013639,Barnet
Friern Barnet,E05013640,Barnet
Garden Suburb,E05013641,Barnet
Golders Green,E05013642,Barnet
Hendon,E05013643,Barnet
High Barnet,E05013644,Barnet
Mill Hill,E05013645,Barnet
Totteridge & Woodside,E05013646,Barnet
Underhill,E05013647,Barnet
West Finchley,E05013648,Barnet
West Hendon,E05013649,Barnet
Whetstone,E05013650,Barnet
Woodhouse,E05013651,Barnet
Barnehurst,E05011217,Bexley
Belvedere,E05011218,Bexley
Bexleyheath,E05011219,Bexley
Blackfen & Lamorbey,E05011220,Bexley
Blendon & Penhill,E05011221,Bexley
Crayford,E05011222,Bexley
Crook Log,E05011223,Bexley
East Wickham,E05011224,Bexley
Erith,E05011225,Bexley
Falconwood & Welling,E05011226,Bexley
Longlands,E05011227,Bexley
Northumberland Heath,E05011228,Bexley
Sidcup,E05011230,Bexley
Slade Green & Northend,E05011231,Bexley
St Mary's & St James,E05011229,Bexley
Thamesmead East,E05011232,Bexley
West Heath,E05011233,Bexley
Alperton,E05013496,Brent
Barnhill,E05013497,Brent
Brondesbury Park,E05013498,Brent
Cricklewood & Mapesbury,E05013499,Brent
Dollis Hill,E05013500,Brent
Harlesden & Kensal Green,E05013501,Brent
Kenton,E05013502,Brent
Kilburn,E05013503,Brent
Kingsbury,E05013504,Brent
Northwick Park,E05013505,Brent
